sequence,renamed_file,original_file,description
1,001-hunt-initial-high-volume-row.png,ba2b8369-9e7a-4ead-bf94-eb6eecad1b27.png,hunt-initial-high-volume-row
2,002-raw-pivot-wide-time-range-130-events.png,8412727f-02c3-41a8-a3a2-b6748a7c4512.png,raw-pivot-wide-time-range-130-events
3,003-raw-pivot-exact-minute-91-events.png,05742f62-3a4e-4b8b-835f-b75781df4c70.png,raw-pivot-exact-minute-91-events
4,004-hunt-final-corrected-first-last-event.png,9e74a6ef-6328-4e65-9387-12700502bd73.png,hunt-final-corrected-first-last-event
5,005-candidate-rule-benign-history-page.png,cbe6981f-3eab-4325-8abb-0014eaa0b3c7.png,candidate-rule-benign-history-page
6,006-candidate-rule-historical-dga-six-windows.png,0d507e7a-e4de-42ef-962a-bfa130dd56e6.png,candidate-rule-historical-dga-six-windows
7,007-dga-generator-preflight.png,355dd60c-0196-4424-ad62-6842e6c81bc9.png,dga-generator-preflight
8,008-fresh-positive-run-in-progress.png,490336ad-754d-4aaa-9793-a06f67fadaa1.png,fresh-positive-run-in-progress
9,009-fresh-positive-run-complete.png,be6e0266-38fd-41d4-82ec-ef7c6bfcb25e.png,fresh-positive-run-complete
10,010-fresh-positive-candidate-detect-six-windows.png,063075b3-6015-4a7e-95bc-43a4b8233f6b.png,fresh-positive-candidate-detect-six-windows
11,011-benign-ordinary-dns-generation.png,ccd87ce7-4bdb-432a-8f89-9278e5dac4cd.png,benign-ordinary-dns-generation
12,012-benign-ordinary-dns-below-candidate.png,bd803639-0ac2-461e-8899-62de5daf98f1.png,benign-ordinary-dns-below-candidate
13,013-benign-limited-nxdomain-generation.png,3d097038-e89d-4387-a342-e7b8f1bdd5d8.png,benign-limited-nxdomain-generation
14,014-benign-limited-nxdomain-below-candidate.png,10bdc283-96f7-43d7-be9f-e493b2f1add0.png,benign-limited-nxdomain-below-candidate
15,015-benign-repeated-burst-generation.png,f21a852e-730c-44d5-b888-a72b7e06b783.png,benign-repeated-burst-generation
16,016-benign-repeated-burst-cache-limited-result.png,fe36c225-cc31-4772-ad3c-5cb28ff651ef.png,benign-repeated-burst-cache-limited-result
17,017-benign-unique-normal-burst-generation.png,caf830f9-a91c-478a-b190-6e6d9490e498.png,benign-unique-normal-burst-generation
18,018-benign-unique-normal-burst-below-candidate.png,cabf4f16-ad59-4379-83c6-464a772d59b1.png,benign-unique-normal-burst-below-candidate
19,019-final-detection-v1-metadata-output.png,44b37370-b531-43f7-9bcc-cda6e230ede9.png,final-detection-v1-metadata-output
20,020-validation-spl-would-detect-and-below.png,7c9edbff-e7db-4d41-a4d6-34faa0a77c83.png,validation-spl-would-detect-and-below
21,021-ml-check-wrong-host-docker-not-found.png,cb075a01-61f2-4208-a876-4f95383bb386.png,ml-check-wrong-host-docker-not-found
22,022-ml-container-scoring-script-inspection.png,f337521b-5688-458e-8005-e152a247142c.png,ml-container-scoring-script-inspection
23,023-ml-historical-search-zero-due-time-semantics.png,83dd31c3-5f66-4ba7-a773-41d4c18fa593.png,ml-historical-search-zero-due-time-semantics
24,024-ml-all-time-anomaly-results.png,5f1c0bf6-37f7-4b07-a4be-4c1549f9cb3d.png,ml-all-time-anomaly-results
25,025-ml-window-time-extracted-six-anomalies.png,fe0599e2-0363-4936-8b17-0bdb31d779e7.png,ml-window-time-extracted-six-anomalies
26,026-rule-vs-ml-final-comparison.png,33ee1ad2-310f-4dcc-aac9-abc17a3ad77e.png,rule-vs-ml-final-comparison
27,027-scheduled-alert-initial-configuration.png,57d1c8d9-aac7-456d-a006-4e21e72f2c29.png,scheduled-alert-initial-configuration
28,028-scheduled-alert-action-required-error.png,e30675da-5eef-4157-b192-c84ac6f8efbb.png,scheduled-alert-action-required-error
29,029-scheduled-alert-saved.png,9aff0df3-c928-4cfd-8230-d53f83e2ee8c.png,scheduled-alert-saved
30,030-alert-view-trigger-history-before-correction.png,343d3ba2-6873-47fa-8544-ebe6c2150c54.png,alert-view-trigger-history-before-correction
31,031-alert-custom-time-range.png,eb91f6a8-32aa-4b95-994c-fe420a110817.png,alert-custom-time-range
32,032-alert-once-triggered-alerts-action-settings.png,e1e2b2b2-7942-4212-8ed0-34d7869bd838.png,alert-once-triggered-alerts-action-settings
