category,renamed_file,original_file,crop,github_section,purpose,reason
core,core/01_private-splunk-rest-hec-health.png,f26a07fd-61f0-4320-8b96-738bb6922025.png,none,ML Architecture / Prerequisites,Proves Splunk internal REST 8089 and HEC 8088 were reachable and HEC reported healthy.,Shows the ML integration paths were healthy without exposing them publicly.
core,core/02_victim-dns-path-preflight.png,52be95b2-6367-422c-b2c7-ceb8b08faae3.png,"(0, 55, 1438, 795)",ML Data Source / Preflight,Proves dns-soc-victim01 used resolver 10.50.30.10 and could resolve DNS before controlled data generation.,Establishes the real telemetry path used for benign and DGA traffic.
core,core/03_ml-reader-role-index-scope.png,ba4a88f4-cda2-485c-a258-7675a0ac23c6.png,none,ML Security / Least Privilege,Shows dns_soc_ml_reader search capability and access restricted to dns_soc_dns.,Documents least-privilege REST access used by the ML container.
core,core/04_ml-hec-token-configuration.png,281c2596-bfcc-4629-9637-91f3e3746c0e.png,none,ML Write-back / HEC,Shows the HEC token was configured for dns_soc_ml with sourcetype dns_soc:ml:iforest.,Documents where model results are written back into Splunk.
core,core/05_ml-hec-ingestion-validation.png,1cb8d40a-8151-4a6b-a0eb-f7fabce8c1d5.png,"(80, 45, 1910, 420)",ML Write-back / HEC,Shows a validation event successfully landed in dns_soc_ml.,Proves HEC ingestion worked before model-result write-back.
core,core/06_benign-run-01-ground-truth.png,284d719b-a25b-4142-9121-1d1ee33db5d5.png,"(0, 0, 1231, 255)",Baseline / Ground Truth,Exact timestamps for the first controlled benign DNS run.,Ground-truth timing is needed to select only known-benign events for training.
core,core/07_benign-run-02-ground-truth.png,528fe1f3-fc2b-4153-8071-b5b69ddcf8d7.png,none,Baseline / Ground Truth,Exact timestamps for the second controlled benign DNS run.,Extends the clean baseline and makes the training dataset reproducible.
core,core/08_benign-baseline-splunk-validation.png,17e5fddf-e1c9-49fa-81dd-448c728435e7.png,"(70, 50, 1910, 520)",Baseline / Splunk Validation,Shows controlled benign data present in dns_soc_dns with expected qtypes and rcodes.,Confirms the generated baseline actually reached Splunk before feature engineering.
core,core/09_feature-engineering-32-one-minute-windows.png,884bc363-0214-43d0-adb8-0a2bea5b7487.png,"(70, 65, 1900, 820)",Feature Engineering,"Shows 32 one-minute feature rows with query_count, unique_qnames, NXDOMAIN, qname length, TLD and A/AAAA features.",Best visual proof of the exact feature matrix used by Isolation Forest.
core,core/10_ml-python-dependencies-validated.png,ebdc68b8-b3e2-4b29-9045-baf42ea48023.png,none,ML Runtime,"Shows requests, scikit-learn and joblib versions and ML dependencies OK.",Documents the reproducible Python runtime used by the model.
core,core/11_isolation-forest-training-success.png,d1f6381e-fbe0-4428-87a5-d76be7ccbfce.png,documentation copy cropped from source to the 1083x136 result block; token prompt/length removed; result values preserved,Model Training,"Shows 32 feature rows, 24 training rows, 8 holdout rows, anomaly counts and saved joblib model.",Primary proof that Isolation Forest was actually trained and persisted.
core,core/12_dga-ground-truth.png,3ee911b9-6ec0-42f4-b9d0-7c73e61ff5d8.png,none,Controlled DGA Execution,Exact timestamps for the five-minute controlled DGA generator run.,Ground-truth timing allows exact Splunk correlation and scoring.
core,core/13_dga-feature-windows-in-splunk.png,687e7d38-1e36-4007-b059-ca6cee33344a.png,"(0, 30, 1830, 745)",Controlled DGA Execution / Features,"Shows six DGA feature windows with high unique qnames, ~1.0 NXDOMAIN ratio and long qnames.",Visually demonstrates why the controlled DGA behavior differs from the benign baseline.
core,core/14_isolation-forest-dga-scoring-6-of-6.png,3d886f42-20c0-4640-927f-ed610f6526e4.png,"(0, 560, 1489, 805)",Model Scoring,Shows six DGA windows scored and all six classified ANOMALY with negative decision scores.,Primary detection-performance evidence for the controlled DGA test.
core,core/15_ml-hec-writeback-6-events.png,d8e06d46-6303-4d88-b23d-4f6e6f2a1aff.png,none,ML Write-back / HEC,Shows all six scoring results returned HEC_HTTP=200 and events_sent=6.,Proves the ML container successfully sent model results back to Splunk.
core,core/16_final-splunk-ml-results-summary.png,bd3c9637-fe70-4ba1-984c-30e550fe4f69.png,"(80, 45, 1910, 535)",Final Validation,"Shows dns_iforest_v1, scenario_02_dga, scored_windows=6 and anomalies=6 in dns_soc_ml.",Best final end-to-end proof that the model result is stored and searchable in Splunk.
supporting,setup/S01_compose-validation-and-pre-ml-backup.png,0541cf5b-be97-4ef7-b26b-15a5d9d3b943.png,none,ML Container Build,Shows Compose config VALID and pre-ML compose backup.,"Useful implementation evidence, but not necessary in the main README narrative."
supporting,setup/S02_kvstore-ready-after-recovery.png,f4da135a-a4a9-4bb8-bdec-6a03d1aa80fd.png,"(0, 75, 1200, 805)",Infrastructure Health,Shows KV Store status ready and member 127.0.0.1:8191 after recovery.,Useful prerequisite evidence because token creation and Splunk internals depended on KV Store.
supporting,setup/S03_dns-field-extractions-visible.png,8a52eb8d-f3b7-439d-b835-60769bc16bfd.png,none,Splunk Data Quality,Shows the two Unbound DNS field extractions active in Search & Reporting.,Useful for explaining how raw resolver logs became model-ready fields.
supporting,setup/S04_shared-props-field-extractions.png,b602a468-6b2c-440f-bcab-0de3cd359496.png,"(0, 330, 1850, 815)",Splunk Data Quality,Shows the unbound:dns search-time extractions promoted into shared app props.,"Explains why REST searches could finally see client_ip, qname, qtype and rcode."
troubleshooting,troubleshooting/T01_kvstore-not-ready-token-creation-failed.png,4b1bc168-aa95-459d-a689-47a99bbd74de.png,none,Troubleshooting Appendix,Captures the REST token creation failure caused by KV Store not being ready.,"Clear symptom screenshot; useful in a problem/fix section, not in the main result flow."
troubleshooting,troubleshooting/T02_kvstore-8191-connection-errors.png,a075961d-2773-4201-9a99-54f10c96790f.png,"(0, 0, 1840, 790)",Troubleshooting Appendix,Shows repeated KVStore/Mongo connection failures against 127.0.0.1:8191.,Documents the concrete backend failure that blocked token creation.
troubleshooting,troubleshooting/T05_compose-yaml-parser-error.png,8d51f973-ae21-4270-b488-eb34bf041598.png,none,Troubleshooting Appendix,Shows Docker Compose parser error while adding the ML service.,Captures an implementation issue worth documenting with the later valid-config screenshot.
troubleshooting,troubleshooting/T06_field-extractions-were-private.png,8a52eb8d-f3b7-439d-b835-60769bc16bfd.png,none,Troubleshooting Appendix,Shows Unbound extractions were active but shared as Private.,This explained why the restricted REST namespace did not receive the same extracted fields.
troubleshooting,troubleshooting/T07_rest-search-no-matching-fields.png,45ae122f-088b-4286-9c0c-be65fb70078a.png,none,Troubleshooting Appendix,Shows REST query returning 'No matching fields exist.',Direct before-fix evidence for the field-extraction visibility problem.
troubleshooting,troubleshooting/T09_compose-config-valid-after-fix.png,0541cf5b-be97-4ef7-b26b-15a5d9d3b943.png,none,Troubleshooting Appendix,Shows Compose config VALID after correcting the ML service YAML.,Pairs with T05 to document problem → fix → validation.
